Model,No,Question,Claude_Diagnoses,Selected_Model_Answer,Similarity_Score,precision,recall,f1_score,matched,total_ground_truth,total_predictions,answer_cosine_similarity,full_answer_cosine_similarity,bleu_score,meteor_score,bert_score
Deepseek,1,"Pasien mengalami demam pada waktu malam. Sebelum masuk rumah sakit, pasien merasa mual, muntah dan menggigil. Pasien didiagnosis penyakit apa?",demam tifoid 70%; demam berdarah dengue 30%,"Infeksi Virus (Dengue, Influenza, dll.)",0.3780484324926101,1,0.5,0.6666666666666666,1,2,1,0.093494775,0,0.095272625,0.10000000000000002,0.8077003359794617
Deepseek,2,Pasien mengalami buang air besar cair lebih dari 6 kali sejak 1 hari lalu dengan mual dan muntah sebanyak 4 kali. Perut pasien juga terasa terlilit. Pasien didiagnosis penyakit apa?,gastroenteritis 70%; intoleransi laktosa 30%,"Penyebab Non-Infeksi: efek samping obat, intoleransi laktosa",0.4308552839738097,1,0.5,0.6666666666666666,1,2,1,0.26951761324603224,0,0.1459874131984243,0.5357142857142858,0.7376425862312317
Deepseek,3,"Pasien datang dengan keluhan demam selama 6 hari. Pasien lemas, nyeri sendi, dan muncul bercak merah di seluruh tubuh. Pasien didiagnosis penyakit apa?",demam berdarah dengue 80%,Demam Berdarah Dengue (DBD) / Dengue Fever,0.9196314760753671,1,1,1,1,1,1,0.7321049202512239,0.35809178246441276,0.380341379,0.7744107744107744,0.9458805918693542
Deepseek,4,"Pasien menderita demam disertai munculnya bruntus kemerahan dan panas di telapak tangan kiri, lengan kiri dan leher kiri. Lengan nyeri, kaku dan sulit diangkat (apakah kemerahan juga ada di lengan?). Sudah berobat tapi belum ada membaik. #Hasil pemeriksaan TD = 108/88 mmHg, R = 20 brpm,  S= 38 C, Status generalis = batas normal, status lokalis = leher kiri, bahu kiri dan telapak tangan kiri (tampak apa? seharusnya tampak kemerahan dsb). Pasien didiagnosis penyakit apa?",infeksi bakteri/virus (sistemik) 50%; infeksi jaringan lunak (selulitis) 70%,,0,0,0,0,0,2,0,0,0,0,0,0
Deepseek,5,Pasien nyeri dada sejak 4 jam lalu seperti terhimpit batu besar dan menjalar sampai ke bahu kiri. Pasien sakit apa?,angina 80%; serangan jantung 80%,Infark Miokard Akut (Serangan Jantung),0.4568901287999414,1,0.5,0.6666666666666666,1,2,1,0.35630042933313816,0.44141759604919795,0.2455242845372436,0.5859375,0.9601860642433167
Deepseek,6,"Pasien mengalami sesak nafas sejak siang. #Hasil Pemeriksaan TD = 100/80 mmHg, S = 36 °C . RR = 20 bpm (RR >24x bila sesak), wheezing/mengi (nafas berbunyi ngik-ngik),  Sp02 = 90%. Pasien didiagnosis penyakit apa?",asma 100%; bronkitis 70%; penyakit paru obstruktif kronik 50%,,0,0,0,0,0,3,0,0,0,0,0,0
Deepseek,7,"Pasien mengalami sesak napas sejak sehari lalu, batuk berdahak, pilek, dan buang air kecil lebih dari 10 kali di malam hari. Pasien sudah  mengonsumsi obat tapi belum ada perubahan. #Hasil pemeriksaan TD = 135/70 mmHg, S = 36,5°C, RR= 24 x/mnt, N= 75 x/mnt, dan Sp02= 95%. Pasien didiagnosis penyakit apa?
",bronkitis 100%,,0,0,0,0,0,1,0,0,0,0,0,0
Deepseek,8,"Pasien mengalami sesak nafas sekitar 3 hari, tapi jarang batuk. Pasien didiagnosis penyakit apa?",bronkitis 80%; asma 50%,Asma (Tipe Non-Batuk),0.41608644516854887,1,0.5,0.6666666666666666,1,2,1,0.22028815056182968,0.2728238597414139,0.12457078372098722,0.22727272727272727,0.8012654781341553
Deepseek,9,"Pasien nyeri ulu hati/perut bagian atas sejak 2 hari lalu, sampai mual dan muntah-muntah. Dada terasa berat, kepala pusing. Batuk berdahak dan demam. Pasien sakit apa?",dispepsia 100%; pneumonia 50%; ispa 50%,Pneumonia dengan Gejala Gastrointestinal,0.28456616729036827,1,0.3333333333333333,0.5,1,3,1,0.17077611319011649,0,0.12457078372098722,0.16129032258064518,0.9063858985900879
Deepseek,10,Pasien merasa nyeri di ulu hati sampai terasa sesak seperti terbakar sampai terasa sesak. Pasien muntah dan mual. Pasien sakit apa?,dispepsia 80%; gerd 90%,GERD (Refluks Asam Lambung),0.41608644516854887,1,0.5,0.6666666666666666,1,2,1,0.22028815056182968,0,0.12457078372098722,0.22727272727272727,0.8395158052444458
Deepseek,11,"Pasien mengalami buang air besar cair 5 kali lebih dan nyeri di ulu hati, mual, dan muntah sebanyak lebih dari 7 kali.  Sudah minum tapi dimuntahkan kembali, bisa masuk makanan. #Hasil pemeriksaan TD = 180/89 mmHg. Pasien didagnosis penyakit apa?",gastroenteritis 70%; infeksi saluran pencernaan 50%,Gastroenteritis Akut Berat dengan Dehidrasi,0.388207859,1,0.5,0.6666666666666666,1,2,1,0.1273595297947935,0.2685812827626939,0.095272625,0.12195121951219512,0.9661480784416199
Deepseek,12,"Pasien nyeri pinggang kanan sejak 6 jam lalu, mual tapi tidak demam. Punya riwayat nyeri saat berkemih/buang air kecil. Pasien sakit apa?",batu ginjal 70%; kolik renal 80%; ganguan saluran kemih 100%; ureterolitiasis 70%,Batu Ureter (Urolitiasis),0.035015321,0,0,0,0,4,1,0.11671773546032795,0.428089659,0.032919747591107426,0.066666667,0.9271924495697021
Deepseek,13,"Pasien mengalami nyeri perut sejak sehari lalu dan makin parah 3 jam kemudian, sampai menangis, menjerit, sulit buang air besar, muntah dan demam. Pasien didiagnosis penyakit apa?",peritonitis 50%; infeksi saluran pencernaan akut 70%; obstruksi usus 70%,Obstruksi Usus,0.3564421268189887,1,0.3333333333333333,0.5,1,3,1,0.41036264495218466,0,0.057130397853759285,0.28846153846153844,0.888623834
Deepseek,14,"Pasien mengalami nyeri perut, mulas, mual, muntah dan tidak bisa buang air besar selama 2 hari, tapi bisa buang air kecil dan kentut. Sudah minum obat pereda nyeri lambung, namun belum ada tanda perbaikan. #Hasil pemeriksaan menunjukkan kepala dan thorax normal, nyeri tekan di epigastrik, abdomen soepel (lembut), perkusi tympani. Pasien didiagnosis penyakit apa?
",kolesistitis akut 70%; dispepsia 70%,Ileus Obstruktif Parsial,0,0,0,0,0,2,1,0,0.34398913007956117,0,0,0.8853919506072998
Deepseek,15,"Pasien mengalami nyeri hebat di perut bawah (bisa dispesifikan bawah kanan/tengah/kiri?), disertai kram, mual, dan kesulitan tidur. #Hasil pemeriksaan TD = 130/89 mmHg, N - 88 bpm, S = 37°C, hasil jantung dan paru dalam batas normal, dan tidak ada kelainan di kepala. Pemeriksaan abdomen tidak menunjukkan tanda nyeri di regio iliaka kiri. Refill kapiler normal (2 detik), tetapi tingkat nyeri sangat tinggi (VAS: 10/10). Pasien didagnosis penyakit apa?",appendisitis 70%; kolika abdominalis 80%,,0,0,0,0,0,2,0,0,0,0,0,0
Deepseek,16,"Pasien muntah-muntah sejak 3 hari lalu setiap makanan masuk, demam dan batuk pilek. #Hasil pemeriksaan:  TD=120/78,  N=  88x/m, R= 21x/m S 37,6 °C, Kepala, thorax dalam batas normal, Abdomen : NT epigastrik, Ext : akral hangat, CRT <2detik. Pasien didiagnosis penyakit apa?",dispepsia 80%; ispa 80%,Flu Lambung (Viral Gastroenteritis + ISPA),0.058294302,0,0,0,0,2,1,0.19431434016858148,0,0.095272625,0.21739130434782608,0.8203136324882507
Deepseek,17,"Pasien mengalami demam, menggigil, sulit tidur, batuk dan pilek. Sudah mengkonsumsi obat penurun demam dan dikompres. Demam sudah berkurang. #Hasil pemeriksaan S = 39°C, N = 111 bpm, RR = 20 brpm. Pasien didagnosis penyakit apa?",ispa 70%; influenza 80%,Influenza/ISPA Viral,0.5627891799818822,1,0.5,0.6666666666666666,1,2,1,0.7092972666062739,0.3790045936980955,0.28415207586695296,0.4761904761904762,0.9324406385421753
Deepseek,18,"Pasien demam tinggi hari ke 3, batuk berdahak, dan pilek. Sudah konsumsi obat demam, demam masih naik turun",ispa 80%; bronkitis 50%,Infeksi Saluran Pernapasan Akut (ISPA) Bakterial,0.40273582351800385,1,0.5,0.6666666666666666,1,2,1,0.1757860783933462,0.40248004632454004,0.07757368,0.20833333333333334,0.7381200790405273
Deepseek,19,"Pasien mengalami demam tinggi, batuk dan pilek sejak 2 hari lalu. Pasien didiagnosis penyakit apa?",influenza 80%; ispa 80%,Influenza (Flu),0.45082907818287726,1,0.5,0.6666666666666666,1,2,1,0.33609692727625756,0.34693681822948563,0.2617965237082947,0.25,0.9327189922332764
Deepseek,20,"Pasien mengalami demam tinggi sejak sehari lalu yang tidak turun dengan obat penurun panas, batuk, pusing dan lemas. Pasien didiagnosis penyakit apa?",ispa 80%,Influenza (Flu),0,0,0,0,0,1,1,0,0.3177418490986705,0,0,0.7594048976898193
Deepseek,21,"Pasien mengalami demam dan sudah berobat. #Hasil pemeriksaan S =  39,2 °C, RR = 22 brpm, N = 88 bpm. Pasien didiagnosis penyakit apa?",demam berdarah dengue 50%; demam berdarah dengue 30%; common fever 80%,Infeksi Virus (Influenza/COVID-19/Dengue),0.2706618971932891,1,0.3333333333333333,0.5,1,3,1,0.12442854619985262,0.26530823398444464,0.055583971,0.064102564,0.8874063491821289
Deepseek,22,"Pasien demam tinggi sejak 2 hari lalu, badan linu dan kepala terasa berat dan lemas.",demam berdarah dengue 70%,Demam Berdarah Dengue (DBD - Fase Awal),0.8739216014612997,1,1,1,1,1,1,0.5797386715376658,0,0.380341379,0.8922558922558923,0.9499112367630005
Deepseek,23,"Pasien demam, lemas dan pusing. Sudah mengkonsumsi obat penurun panas. #Hasil pemeriksaan N= 117 bpm, RR= 20 brpm. Pasien didiagnosis penyakit apa?",awal infeksi virus 70%,Infeksi Virus Akut (Influenza/COVID-19/Dengue),0.087320731,0,0,0,0,1,1,0.2910691023819054,0.32102048644907144,0.16862012739611024,0.5514705882352942,0.9041386842727661
Deepseek,24,"Klien pingsan kemudian sadar tapi mengalami pusing, mual dan muntah. Sudah minum obat. #Hasil pemeriksaan TD = 138/98 mmHg, RR =  20 bpm, N =  76 brpm. Pasien didiagnosis penyakit apa?",hipertensi 100%; post syncope kelainan non neurologis 50%; post syncope kelainan neurologis 50%,Hipertensi Emergensi dengan Ensefalopati,0.2527182332851576,1,0.3333333333333333,0.5,1,3,1,0.064616333,0,0.027795498921479297,0.053191489,0.8777208924293518
Deepseek,25,Pasien terjatuh saat memperbaiki atap rumah dan mengalami benturan kepala yang mengakibatkan luka robek di kepala. Pasien dibawa ke Klinik Asshomaditah satu jam sesudahnya. Pasien didiagnosis penyakit apa?,ckr 100%; luka robek 100%,Luka Robek Kepala (Scalp Laceration) dengan Trauma Kepala Ringan-Sedang,0.4145210977117312,1,0.5,0.6666666666666666,1,2,1,0.21507032570577075,0.29239566974646003,0.11518921568034021,0.5067567567567568,0.8182234764099121
Deepseek,26,Pasien mengalami luka robek di siku tangan kanan karena jatuh dan terkena keramik saat bermain air. Terasa nyeri dan berdarah. Pasien didiagnosis penyakit apa?,luka robek 100%,Luka Robek (Laceration) pada Siku Kanan,0.8348309249571946,1,1,1,1,1,1,0.4494364165239822,0.46489115699868966,0.1997461536760719,0.78125,0.8765208721160889
Deepseek,27,Pasien jatuh di halaman rumah waktu men-starter motor. Pasien didiagnosis penyakit apa?,post trauma 100%,Trauma Muskuloskeletal Ringan,0.078166701,0,0,0,0,1,1,0.2605556710562624,0.22927775289428926,0.17429327608510298,0.2380952380952381,0.9359939098358154
Deepseek,28,Pasien jatuh dari kasur waktu bangun tidur di kamar karena kepala terasa pusing dan berputar seperti ada gempa. Lutut tergores ujung tempat tidur kayu. Pasien didiagnosis penyakit apa?,ckr 90%; luka robek 100%; gangguan keseimbangan neurologis lain 70%,Gangguan telinga dalam lainnya,0.031797639,0,0,0,0,3,1,0.1059921313509325,0,0.058843071678529243,0.074626866,0.9397016167640686
