No,Question,Claude_Diagnoses,Selected_Qwen_Answer,Similarity_Score,precision,recall,f1_score,matched,total_ground_truth,total_predictions,answer_cosine_similarity,full_answer_cosine_similarity,bleu_score,meteor_score,bert_score
1.0,"Pasien mengalami demam pada waktu malam. Sebelum masuk rumah sakit, pasien merasa mual, muntah dan menggigil. Pasien didiagnosis penyakit apa?",demam tifoid 70%; demam berdarah dengue 30%,Demam Biasa,0.1104069626268345,0.0,0.0,0.0,0,2,1,0.368023208756115,0.385962334116664,0.05841470026133401,0.10638297872340426,0.8878488540649414
2.0,Pasien mengalami buang air besar cair lebih dari 6 kali sejak 1 hari lalu dengan mual dan muntah sebanyak 4 kali. Perut pasien juga terasa terlilit. Pasien didiagnosis penyakit apa?,gastroenteritis 70%; intoleransi laktosa 30%,Intoleransi Laktosa,0.5627891799818822,1.0,0.5,0.6666666666666666,1,2,1,0.7092972666062739,0.0,0.42213971469565453,0.6465517241379309,0.8581529855728149
3.0,"Pasien datang dengan keluhan demam selama 6 hari. Pasien lemas, nyeri sendi, dan muncul bercak merah di seluruh tubuh. Pasien didiagnosis penyakit apa?",demam berdarah dengue 80%,Demam Dengue,0.9127891799818821,1.0,1.0,1.0,1,1,1,0.7092972666062739,0.0,0.25972126093337977,0.3448275862068965,0.9520406723022461
4.0,"Pasien menderita demam disertai munculnya bruntus kemerahan dan panas di telapak tangan kiri, lengan kiri dan leher kiri. Lengan nyeri, kaku dan sulit diangkat (apakah kemerahan juga ada di lengan?). Sudah berobat tapi belum ada membaik. #Hasil pemeriksaan TD = 108/88 mmHg, R = 20 brpm,  S= 38 C, Status generalis = batas normal, status lokalis = leher kiri, bahu kiri dan telapak tangan kiri (tampak apa? seharusnya tampak kemerahan dsb). Pasien didiagnosis penyakit apa?",infeksi bakteri/virus (sistemik) 50%; infeksi jaringan lunak (selulitis) 70%,Infeksi Lokal,0.08736582556910691,0.0,0.0,0.0,0,2,1,0.2912194185636897,0.0,0.013034081424333982,0.06756756756756756,0.8922731280326843
5.0,Pasien nyeri dada sejak 4 jam lalu seperti terhimpit batu besar dan menjalar sampai ke bahu kiri. Pasien sakit apa?,angina 80%; serangan jantung 80%,Infark Miokard Akut (Serangan Jantung),0.4568901287999414,1.0,0.5,0.6666666666666666,1,2,1,0.35630042933313816,0.41115674529014173,0.2455242845372436,0.5859375,0.9601860046386719
6.0,"Pasien mengalami sesak nafas sejak siang. #Hasil Pemeriksaan TD = 100/80 mmHg, S = 36 °C . RR = 20 bpm (RR >24x bila sesak), wheezing/mengi (nafas berbunyi ngik-ngik),  Sp02 = 90%. Pasien didiagnosis penyakit apa?",asma 100%; bronkitis 70%; penyakit paru obstruktif kronik 50%,Asma,0.3242981526684492,1.0,0.3333333333333333,0.5,1,3,1,0.3032160644503863,0.3132520172890195,0.0028852425886168424,0.0909090909090909,0.8145372867584229
7.0,"Pasien mengalami sesak napas sejak sehari lalu, batuk berdahak, pilek, dan buang air kecil lebih dari 10 kali di malam hari. Pasien sudah  mengonsumsi obat tapi belum ada perubahan. #Hasil pemeriksaan TD = 135/70 mmHg, S = 36,5°C, RR= 24 x/mnt, N= 75 x/mnt, dan Sp02= 95%. Pasien didiagnosis penyakit apa?
",bronkitis 100%,,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0
8.0,"Pasien mengalami sesak nafas sekitar 3 hari, tapi jarang batuk. Pasien didiagnosis penyakit apa?",bronkitis 80%; asma 50%,Asma,0.5239216014612997,1.0,0.5,0.6666666666666666,1,2,1,0.5797386715376658,0.4689155569063758,0.15752890773531983,0.2631578947368421,0.8224072456359863
9.0,"Pasien nyeri ulu hati/perut bagian atas sejak 2 hari lalu, sampai mual dan muntah-muntah. Dada terasa berat, kepala pusing. Batuk berdahak dan demam. Pasien sakit apa?",dispepsia 100%; pneumonia 50%; ispa 50%,Dispepsia,0.3681642582905279,1.0,0.3333333333333333,0.5,1,3,1,0.4494364165239821,0.556721400879946,0.057951646546017165,0.17857142857142855,0.8889232873916626
10.0,Pasien merasa nyeri di ulu hati sampai terasa sesak seperti terbakar sampai terasa sesak. Pasien muntah dan mual. Pasien sakit apa?,dispepsia 80%; gerd 90%,Dispepsia Fungsional,0.45082907818287726,1.0,0.5,0.6666666666666666,1,2,1,0.33609692727625756,0.5638266113406819,0.2617965237082947,0.25,0.9105878472328186
11.0,"Pasien mengalami buang air besar cair 5 kali lebih dan nyeri di ulu hati, mual, dan muntah sebanyak lebih dari 7 kali.  Sudah minum tapi dimuntahkan kembali, bisa masuk makanan. #Hasil pemeriksaan TD = 180/89 mmHg. Pasien didagnosis penyakit apa?",gastroenteritis 70%; infeksi saluran pencernaan 50%,Infeksi Saluran Pencernaan,0.5829543591423546,1.0,0.5,0.6666666666666666,1,2,1,0.7765145304745156,0.0,0.6381322746124526,0.754985754985755,0.888606607913971
12.0,"Pasien nyeri pinggang kanan sejak 6 jam lalu, mual tapi tidak demam. Punya riwayat nyeri saat berkemih/buang air kecil. Pasien sakit apa?",batu ginjal 70%; kolik renal 80%; ganguan saluran kemih 100%; ureterolitiasis 70%,Infeksi Saluran Kemih (ISK) Akut,0.05726221983906105,0.0,0.0,0.0,0,4,1,0.19087406613020352,0.40766078143388307,0.13474658429769992,0.24350649350649353,0.8720043301582336
13.0,"Pasien mengalami nyeri perut sejak sehari lalu dan makin parah 3 jam kemudian, sampai menangis, menjerit, sulit buang air besar, muntah dan demam. Pasien didiagnosis penyakit apa?",peritonitis 50%; infeksi saluran pencernaan akut 70%; obstruksi usus 70%,Obstruksi Usus,0.3564421268189887,1.0,0.3333333333333333,0.5,1,3,1,0.41036264495218466,0.0,0.057130397853759285,0.28846153846153844,0.888623833656311
14.0,"Pasien mengalami nyeri perut, mulas, mual, muntah dan tidak bisa buang air besar selama 2 hari, tapi bisa buang air kecil dan kentut. Sudah minum obat pereda nyeri lambung, namun belum ada tanda perbaikan. #Hasil pemeriksaan menunjukkan kepala dan thorax normal, nyeri tekan di epigastrik, abdomen soepel (lembut), perkusi tympani. Pasien didiagnosis penyakit apa?
",kolesistitis akut 70%; dispepsia 70%,Dispepsia,0.4848309249571946,1.0,0.5,0.6666666666666666,1,2,1,0.44943641652398214,0.3459154198437801,0.057951646546017165,0.17857142857142855,0.8890925645828247
15.0,"Pasien mengalami nyeri hebat di perut bawah (bisa dispesifikan bawah kanan/tengah/kiri?), disertai kram, mual, dan kesulitan tidur. #Hasil pemeriksaan TD = 130/89 mmHg, N - 88 bpm, S = 37°C, hasil jantung dan paru dalam batas normal, dan tidak ada kelainan di kepala. Pemeriksaan abdomen tidak menunjukkan tanda nyeri di regio iliaka kiri. Refill kapiler normal (2 detik), tetapi tingkat nyeri sangat tinggi (VAS: 10/10). Pasien didagnosis penyakit apa?",appendisitis 70%; kolika abdominalis 80%,Apendisitis,0.35,1.0,0.5,0.6666666666666666,1,2,1,0.0,0.0,0.0,0.0,0.8551892042160034
16.0,"Pasien muntah-muntah sejak 3 hari lalu setiap makanan masuk, demam dan batuk pilek. #Hasil pemeriksaan:  TD=120/78,  N=  88x/m, R= 21x/m S 37,6 °C, Kepala, thorax dalam batas normal, Abdomen : NT epigastrik, Ext : akral hangat, CRT <2detik. Pasien didiagnosis penyakit apa?",dispepsia 80%; ispa 80%,Dispepsia Fungsional,0.45082907818287726,1.0,0.5,0.6666666666666666,1,2,1,0.33609692727625756,0.43598495030670364,0.2617965237082947,0.25,0.9206485152244568
17.0,"Pasien mengalami demam, menggigil, sulit tidur, batuk dan pilek. Sudah mengkonsumsi obat penurun demam dan dikompres. Demam sudah berkurang. #Hasil pemeriksaan S = 39°C, N = 111 bpm, RR = 20 brpm. Pasien didagnosis penyakit apa?",ispa 70%; influenza 80%,Influenza,0.5239216014612997,1.0,0.5,0.6666666666666666,1,2,1,0.5797386715376658,0.0,0.15752890773531983,0.2631578947368421,0.9216253161430359
18.0,"Pasien demam tinggi hari ke 3, batuk berdahak, dan pilek. Sudah konsumsi obat demam, demam masih naik turun",ispa 80%; bronkitis 50%,Infeksi Saluran Pernapasan Akut (ISPA),0.40829430205057443,1.0,0.5,0.6666666666666666,1,2,1,0.19431434016858148,0.0,0.09527262543222348,0.21739130434782608,0.7442622184753418
19.0,"Pasien mengalami demam tinggi, batuk dan pilek sejak 2 hari lalu. Pasien didiagnosis penyakit apa?",influenza 80%; ispa 80%,Infeksi Saluran Pernapasan Akut (ISPA),0.40829430205057443,1.0,0.5,0.6666666666666666,1,2,1,0.19431434016858148,0.0,0.09527262543222348,0.21739130434782608,0.7783637642860413
20.0,"Pasien mengalami demam tinggi sejak sehari lalu yang tidak turun dengan obat penurun panas, batuk, pusing dan lemas. Pasien didiagnosis penyakit apa?",ispa 80%,Infeksi Saluran Pernapasan Atas (ISPA),0.8005527229983778,1.0,1.0,1.0,1,1,1,0.33517574332792605,0.0,0.09527262543222348,0.35714285714285715,0.861458420753479
21.0,"Pasien mengalami demam dan sudah berobat. #Hasil pemeriksaan S =  39,2 °C, RR = 22 brpm, N = 88 bpm. Pasien didiagnosis penyakit apa?",demam berdarah dengue 50%; demam berdarah dengue 30%; common fever 80%,Demam Biasa,0.304704261723312,1.0,0.3333333333333333,0.5,1,3,1,0.23790309463326234,0.32140437501138613,0.013034081424333982,0.06756756756756756,0.814172625541687
22.0,"Pasien demam tinggi sejak 2 hari lalu, badan linu dan kepala terasa berat dan lemas.",demam berdarah dengue 70%,Demam biasa,0.07816670131687871,0.0,0.0,0.0,0,1,1,0.2605556710562624,0.44458131737135187,0.15878761823526605,0.17241379310344826,0.8881136178970337
23.0,"Pasien demam, lemas dan pusing. Sudah mengkonsumsi obat penurun panas. #Hasil pemeriksaan N= 117 bpm, RR= 20 brpm. Pasien didiagnosis penyakit apa?",awal infeksi virus 70%,Infeksi Saluran Pernapasan Atas (ISPA),0.04519205549611952,0.0,0.0,0.0,0,1,1,0.15064018498706508,0.0,0.09527262543222348,0.15625,0.8241977691650391
24.0,"Klien pingsan kemudian sadar tapi mengalami pusing, mual dan muntah. Sudah minum obat. #Hasil pemeriksaan TD = 138/98 mmHg, RR =  20 bpm, N =  76 brpm. Pasien didiagnosis penyakit apa?",hipertensi 100%; post syncope kelainan non neurologis 50%; post syncope kelainan neurologis 50%,Hipertensi Akut,0.26290916522782803,1.0,0.3333333333333333,0.5,1,3,1,0.09858610631498235,0.33800186332749066,0.004794970590567062,0.05434782608695652,0.8825773000717163
25.0,Pasien terjatuh saat memperbaiki atap rumah dan mengalami benturan kepala yang mengakibatkan luka robek di kepala. Pasien dibawa ke Klinik Asshomaditah satu jam sesudahnya. Pasien didiagnosis penyakit apa?,ckr 100%; luka robek 100%,Luka Robek (Laceration),0.5009307837245394,1.0,0.5,0.6666666666666666,1,2,1,0.5031026124151314,0.4415929759902813,0.4524493306403652,0.625,0.7933148145675659
26.0,Pasien mengalami luka robek di siku tangan kanan karena jatuh dan terkena keramik saat bermain air. Terasa nyeri dan berdarah. Pasien didiagnosis penyakit apa?,luka robek 100%,Luka Robek (Laceration),0.9127891799818821,1.0,1.0,1.0,1,1,1,0.7092972666062739,0.553292975361523,0.4524493306403652,0.8928571428571429,0.7874593734741211
27.0,Pasien jatuh di halaman rumah waktu men-starter motor. Pasien didiagnosis penyakit apa?,post trauma 100%,Luka Ringan atau Kontusio,0.0,0.0,0.0,0.0,0,1,1,0.0,0.38547519136494296,0.0,0.0,0.8438427448272705
28.0,Pasien jatuh dari kasur waktu bangun tidur di kamar karena kepala terasa pusing dan berputar seperti ada gempa. Lutut tergores ujung tempat tidur kayu. Pasien didiagnosis penyakit apa?,ckr 90%; luka robek 100%; gangguan keseimbangan neurologis lain 70%,Benign Paroxysmal Positional Vertigo (BPPV),0.0,0.0,0.0,0.0,0,3,1,0.0,0.39615326732147316,0.0,0.0,0.814407229423523
29.0,Pasien mengalami luka lecet karena terjatuh. Pasien didiagnosis penyakit apa?,luka lecet 100%,Luka Lecet,1.0,1.0,1.0,1.0,1,1,1,1.0000000000000002,0.4321173237628983,0.695990726826009,0.9375,0.9999998807907104
30.0,"Pasien terkena petasan di tangan kiri (bisa dispesifikkan bentuk luka selain luka bakar, apakah lecet/robek/terbuka/tembus?). Pasien didiagnosis penyakit apa?",luka bakar 70%; luka bakar 50%,Luka Bakar,0.65,1.0,0.5,0.6666666666666666,1,2,1,1.0000000000000002,0.39104213837675256,0.2560406796452582,0.4934210526315789,0.9090880155563354
31.0,Pasien demam naik turun sejak 2 hari sebelum masuk rs dan nyeri di seluruh tubuh,common fever 70%; demam berdarah dengue 30%,Demam Biasa,0.40829430205057443,1.0,0.5,0.6666666666666666,1,2,1,0.19431434016858148,0.46565916744161545,0.05841470026133401,0.10638297872340426,0.8127641677856445
32.0,"Pasien demam sejak 2 hari lalu dan dirasakan terus menerus, disertai batuk dan pilek",influenza 70%; ispa 50%,Infeksi Saluran Pernapasan Atas (ISPA),0.40829430205057443,1.0,0.5,0.6666666666666666,1,2,1,0.19431434016858148,0.0,0.09527262543222348,0.21739130434782608,0.7742747068405151
33.0,"Pasien demam sejak 2 hari lalu, batuk berdahak, pilek, mual, muntah. Pasien juga buang air besar cair sering.",gastroenteritis 80%; influenza 70%,Demam Biasa,0.0,0.0,0.0,0.0,0,2,1,0.0,0.49360599782154485,0.0,0.0,0.6089749336242676
34.0,"Pasien demam sejak 2 hari lalu, batuk kering dan pilek.",ispa 50%; influenza 70%,Infeksi Saluran Pernapasan Atas (ISPA),0.40829430205057443,1.0,0.5,0.6666666666666666,1,2,1,0.19431434016858148,0.0,0.09527262543222348,0.21739130434782608,0.7610348463058472
35.0,"Pasien demam sejak 2 hari lalu, disertai batuk pilek dan sakit tenggorokan, badan terasa ngilu, menggigil, juga mual.",influenza 50%; tonsilitis 70%; faringitis 100%,Flu (Influenza),0.31150003465021203,1.0,0.3333333333333333,0.5,1,3,1,0.2605556710562624,0.0,0.15878761823526605,0.17241379310344826,0.8942450284957886
36.0,"Pasien demam tinggi sejak 3 hari lalu, batuk berdahak dan pilek",ispa 70%; pneumonia 50%,Pneumonia,0.5239216014612997,1.0,0.5,0.6666666666666666,1,2,1,0.5797386715376658,0.0,0.15752890773531983,0.2631578947368421,0.8977248072624207
37.0,"Pasien mengalami nyeri di bagian perut atas atau ulu hati, terasa panas di dada dan tenggorokan. Pasien mual dan lemas. Pasien memiliki riwayat darah tinggi. Pasien didiagnosis penyakit apa?",gastritis 70%; gerd 90%; tukak lambung (ulkus gaster) 70%,Gastroesophageal Reflux Disease (GERD),0.2678979963467127,1.0,0.3333333333333333,0.5,1,3,1,0.11521554337793122,0.0,0.07555599963121015,0.08620689655172413,0.773791491985321
38.0,"Pasien mengalami nyeri di bagian ulu hati atau perut bagian atas dan terasa terbakar hingga keringat dingin. Pasien mual, pusing, dan muntah-muntah",dispepsia 70%; gastritis 70%; gerd 90%,Dispepsia Fungsional,0.31150003465021203,1.0,0.3333333333333333,0.5,1,3,1,0.2605556710562624,0.6053798194789556,0.15878761823526605,0.17241379310344826,0.8579676151275635
39.0,"Pasien mengalami nyeri di bagian ulu hati atau perut bagian atas, hingga terasa panas sampai ke dada dan pusing. Pasien mengalami riwayat hipertensi. Pasien didiagnosis penyakit apa?",dispepsia 70%; gastritis 70%; gerd 90%,Dispepsia,0.3681642582905279,1.0,0.3333333333333333,0.5,1,3,1,0.4494364165239821,0.5687866212376507,0.057951646546017165,0.17857142857142855,0.8425511717796326
40.0,Pasien mengalami nyeri hebat di perut bagian atas atau ulu hati sampai keringat dingin. Pasien mengalami mual dan muntah,dispepsia 70%; gastritis 70%,Dispepsia Fungsional,0.45082907818287726,1.0,0.5,0.6666666666666666,1,2,1,0.33609692727625756,0.4741187113099359,0.2617965237082947,0.25,0.8638918995857239
